command_id,counter,payload,hmac_sha256_16
CMD-1001,1,SUBSYS_CONFIG_REG_01,31DD242909E67F32
CMD-1002,2,SUBSYS_CONFIG_REG_02,F1B39E635D656CCE
CMD-1003,3,SUBSYS_CONFIG_REG_03,EC2F1B3F9869F08A
CMD-1004,4,SUBSYS_CONFIG_REG_04,3D0EC0DD78FFA8B5
CMD-1005,5,SUBSYS_CONFIG_REG_05,7648668DD25E6DA7
CMD-1006,6,SUBSYS_CONFIG_REG_06,277567F8DCEF4A68
CMD-1007,7,SUBSYS_CONFIG_REG_07,1FDCAE55AD24181F
CMD-1008,8,SUBSYS_CONFIG_REG_08,E1F5C96EFF1B26FF
CMD-1009,9,SUBSYS_CONFIG_REG_09,C542F0DB1BF8D393
CMD-1010,10,SUBSYS_CONFIG_REG_0A,1C3D17D36566C0BD
CMD-1011,11,SUBSYS_CONFIG_REG_0B,E6E2FF511F8993D3
CMD-1012,12,SUBSYS_CONFIG_REG_0C,ABE1F0F7F9C5143E
CMD-1013,13,SUBSYS_CONFIG_REG_0D,AE4F23977EA3A7CE
CMD-1014,14,SUBSYS_CONFIG_REG_0E,E4A901F8BC293810
CMD-1015,15,SUBSYS_CONFIG_REG_0F,D47F645EA74DA7D1
CMD-1016,16,SUBSYS_CONFIG_REG_10,85AE52731BD35ECD
CMD-1017,17,SUBSYS_CONFIG_REG_11,4AB54BA6CD702415
CMD-1018,18,SUBSYS_CONFIG_REG_12,2666F1B3A3E854D1
CMD-1019,18,SUBSYS_CONFIG_REG_13,600C509A67B8830C
CMD-1020,20,SUBSYS_CONFIG_REG_14,7C80613108FC95B3
CMD-1021,21,SUBSYS_CONFIG_REG_15,8286492A7FB24AA9
CMD-1022,22,SUBSYS_CONFIG_REG_16,F726E96CF172CD8B
CMD-1023,23,SUBSYS_CONFIG_REG_17,CF442A191B5A5FC9
CMD-1024,24,SUBSYS_CONFIG_REG_18,10B9C0CBAC7242AE
CMD-1025,25,SUBSYS_CONFIG_REG_19,BA61E85821049977
