utc_iso,obc_tick16,mode,bat_v_min_mV,bat_v_mean_mV,temp_bat_max_cC,temp_obc_max_cC,gyro_abs_max,rssi_min,crc_err_cnt,reset_cnt,health_bits
2027-03-14T00:00:00Z,0,1,7696,7710,1575,2043,14,-87,0,0,0x01
2027-03-14T00:01:00Z,600,1,7715,7729,1633,2086,14,-78,0,0,0x01
2027-03-14T00:02:00Z,1200,1,7736,7749,1694,2157,16,-72,0,0,0x01
2027-03-14T00:03:00Z,1800,1,7751,7767,1761,2218,11,-68,0,0,0x01
2027-03-14T00:04:00Z,2400,1,7770,7785,1816,2284,14,-63,0,0,0x01
2027-03-14T00:05:00Z,3000,1,7783,7801,1876,2347,14,-64,0,0,0x01
2027-03-14T00:06:00Z,3600,1,7802,7816,1939,2410,18,-68,0,0,0x01
2027-03-14T00:07:00Z,4200,1,7816,7831,2007,2461,15,-73,0,0,0x01
2027-03-14T00:08:00Z,4800,1,7833,7846,2057,2523,12,-80,0,0,0x01
2027-03-14T00:09:00Z,5400,1,7846,7858,2111,2570,14,-86,0,0,0x01
2027-03-14T00:10:00Z,6000,1,7861,7871,2166,2635,14,-119,0,0,0x01
2027-03-14T00:11:00Z,6601,1,7872,7884,2223,2677,12,-121,0,0,0x01
2027-03-14T00:12:00Z,7201,1,7879,7895,2272,2732,13,-119,0,0,0x01
2027-03-14T00:13:00Z,7801,1,7896,7906,2311,2768,14,-119,0,0,0x01
2027-03-14T00:14:00Z,8401,1,7904,7916,2366,2822,14,-121,0,0,0x01
2027-03-14T00:15:00Z,9001,1,7918,7927,2403,2860,13,-120,0,0,0x01
2027-03-14T00:16:00Z,9601,1,7924,7936,2449,2927,13,-118,0,0,0x01
2027-03-14T00:17:00Z,10201,1,7936,7945,2489,2947,14,-121,0,0,0x01
2027-03-14T00:18:00Z,10801,1,7943,7953,2525,2999,15,-119,0,0,0x01
2027-03-14T00:19:00Z,11401,1,7949,7962,2553,3015,13,-119,0,0,0x01
2027-03-14T00:20:00Z,12001,1,7959,7969,2590,3056,11,-120,0,0,0x01
2027-03-14T00:21:00Z,12601,1,7964,7977,2611,3076,16,-118,0,0,0x01
2027-03-14T00:22:00Z,13201,1,7976,7983,2635,3107,13,-119,0,0,0x01
2027-03-14T00:23:00Z,13801,1,7979,7991,2662,3124,14,-119,0,0,0x01
2027-03-14T00:24:00Z,14401,1,7988,7996,2677,3154,13,-118,0,0,0x01
2027-03-14T00:25:00Z,15001,1,7992,8003,2695,3172,15,-119,0,0,0x01
2027-03-14T00:26:00Z,15601,1,8000,8008,2707,3198,15,-119,0,0,0x01
2027-03-14T00:27:00Z,16201,1,8006,8015,2715,3165,15,-118,0,0,0x01
2027-03-14T00:28:00Z,16801,1,8010,8018,2711,3180,17,-120,0,0,0x01
2027-03-14T00:29:00Z,17401,1,8016,8024,2723,3200,15,-119,0,0,0x01
2027-03-14T00:30:00Z,18001,1,8019,8029,2728,3196,17,-118,0,0,0x01
2027-03-14T00:31:00Z,18602,1,8022,8033,2714,3190,15,-120,0,0,0x01
2027-03-14T00:32:00Z,19202,1,8029,8037,2714,3174,14,-119,0,0,0x01
