command_id,counter,payload,hmac_sha256_16
CMD-1001,1,SUBSYS_CONFIG_REG_01,C29241CCD4AE9E74
CMD-1002,2,SUBSYS_CONFIG_REG_02,DC0696FB09DD5C70
CMD-1003,3,SUBSYS_CONFIG_REG_03,215AC5260CE5120D
CMD-1004,4,SUBSYS_CONFIG_REG_04,B20763D78FE54C5E
CMD-1005,5,SUBSYS_CONFIG_REG_05,A1D2AEEE17F997A5
CMD-1006,6,SUBSYS_CONFIG_REG_06,DCBED3547775EE62
CMD-1007,7,SUBSYS_CONFIG_REG_07,0ADEE92B1D90B2B1
CMD-1008,8,SUBSYS_CONFIG_REG_08,4ADB84136C888F57
CMD-1009,9,SUBSYS_CONFIG_REG_09,23D6A4C8B431C170
CMD-1010,10,SUBSYS_CONFIG_REG_0A,AA87A24A66E9E970
CMD-1011,11,SUBSYS_CONFIG_REG_0B,5AEA3E8B4FD2B7AD
CMD-1012,12,SUBSYS_CONFIG_REG_0C,35BF7EDE8C3C1BD9
CMD-1013,13,SUBSYS_CONFIG_REG_0D,E64DBAD39B6CBA31
CMD-1014,14,SUBSYS_CONFIG_REG_0E,E4A901F8BC293810
CMD-1015,15,SUBSYS_CONFIG_REG_0F,487043061BCEBC5A
CMD-1016,16,SUBSYS_CONFIG_REG_10,18FF8211AA49CD1E
CMD-1017,17,SUBSYS_CONFIG_REG_11,F0C3DCE8C84CBDC9
CMD-1018,18,SUBSYS_CONFIG_REG_12,53F635C3E6D8F48A
CMD-1019,18,SUBSYS_CONFIG_REG_13,3027B86DB23EE673
CMD-1020,20,SUBSYS_CONFIG_REG_14,232FB1A6020237D8
CMD-1021,21,SUBSYS_CONFIG_REG_15,F5C591592254EB16
CMD-1022,22,SUBSYS_CONFIG_REG_16,51CD5C3D5114670B
CMD-1023,23,SUBSYS_CONFIG_REG_17,01548C4ABCCE8FF3
CMD-1024,24,SUBSYS_CONFIG_REG_18,867A80908A1C9111
CMD-1025,25,SUBSYS_CONFIG_REG_19,488D6817D260163D
