command_id,counter,payload,hmac_sha256_16
CMD-1001,1,SUBSYS_CONFIG_REG_01,6D577068F21C9C31
CMD-1002,2,SUBSYS_CONFIG_REG_02,72BCFF0EFF0A58F6
CMD-1003,3,SUBSYS_CONFIG_REG_03,C4E0148687436881
CMD-1004,4,SUBSYS_CONFIG_REG_04,F8ECD48114230944
CMD-1005,5,SUBSYS_CONFIG_REG_05,4CF680732267FD82
CMD-1006,6,SUBSYS_CONFIG_REG_06,5204CF4645EA0EF7
CMD-1007,7,SUBSYS_CONFIG_REG_07,8837EE1CE1E372B3
CMD-1008,8,SUBSYS_CONFIG_REG_08,278B7894992B21B2
CMD-1009,9,SUBSYS_CONFIG_REG_09,1440F0074ABD42C0
CMD-1010,10,SUBSYS_CONFIG_REG_0A,702978A17796E510
CMD-1011,11,SUBSYS_CONFIG_REG_0B,293127703C7AF2CA
CMD-1012,12,SUBSYS_CONFIG_REG_0C,1EF0F0AFBBAFD2F4
CMD-1013,13,SUBSYS_CONFIG_REG_0D,02E082C3A7667068
CMD-1014,14,SUBSYS_CONFIG_REG_0E,E4A901F8BC293810
CMD-1015,15,SUBSYS_CONFIG_REG_0F,1455B5F6AFA3B951
CMD-1016,16,SUBSYS_CONFIG_REG_10,70ECFE1E36E8FDD9
CMD-1017,17,SUBSYS_CONFIG_REG_11,FD0CF51A7F1A9908
CMD-1018,18,SUBSYS_CONFIG_REG_12,06C472EB2E729247
CMD-1019,18,SUBSYS_CONFIG_REG_13,6760089F52F1779C
CMD-1020,20,SUBSYS_CONFIG_REG_14,A57D3550AB8D5D23
CMD-1021,21,SUBSYS_CONFIG_REG_15,0CCB87331BE3D7DD
CMD-1022,22,SUBSYS_CONFIG_REG_16,2D01E3CFAC5DFE0A
CMD-1023,23,SUBSYS_CONFIG_REG_17,95EA514BC926EFEE
CMD-1024,24,SUBSYS_CONFIG_REG_18,EE6A62D27215555E
CMD-1025,25,SUBSYS_CONFIG_REG_19,11DA2DC3F6FEF782
