command_id,counter,payload,hmac_sha256_16
CMD-1001,1,SUBSYS_CONFIG_REG_01,2C47B079EF4825FE
CMD-1002,2,SUBSYS_CONFIG_REG_02,92351AF0A9CAC2A4
CMD-1003,3,SUBSYS_CONFIG_REG_03,FE16BAC3D9AA8E75
CMD-1004,4,SUBSYS_CONFIG_REG_04,C0A549CDE3B5EF20
CMD-1005,5,SUBSYS_CONFIG_REG_05,41BBF5D2C4B35595
CMD-1006,6,SUBSYS_CONFIG_REG_06,DBCBAD3C94B6A5CD
CMD-1007,7,SUBSYS_CONFIG_REG_07,AEDCABF353F35C68
CMD-1008,8,SUBSYS_CONFIG_REG_08,7A897BFDF45F9EB3
CMD-1009,9,SUBSYS_CONFIG_REG_09,B62B512382903E93
CMD-1010,10,SUBSYS_CONFIG_REG_0A,A2EFD5B2B4DA86A4
CMD-1011,11,SUBSYS_CONFIG_REG_0B,846853E90522642E
CMD-1012,12,SUBSYS_CONFIG_REG_0C,3A81660278968F65
CMD-1013,13,SUBSYS_CONFIG_REG_0D,B2EDAFCEC4C3DAF4
CMD-1014,14,SUBSYS_CONFIG_REG_0E,E4A901F8BC293810
CMD-1015,15,SUBSYS_CONFIG_REG_0F,0E4227DFE74B1F4F
CMD-1016,16,SUBSYS_CONFIG_REG_10,33418AA4B0240207
CMD-1017,17,SUBSYS_CONFIG_REG_11,81C1BA4C5593E260
CMD-1018,18,SUBSYS_CONFIG_REG_12,C7E1FAAC25C565C5
CMD-1019,18,SUBSYS_CONFIG_REG_13,EDB54F3D33A12F30
CMD-1020,20,SUBSYS_CONFIG_REG_14,D22443C0E9B43B3E
CMD-1021,21,SUBSYS_CONFIG_REG_15,B1072CE0776645F7
CMD-1022,22,SUBSYS_CONFIG_REG_16,64F3208787D82D22
CMD-1023,23,SUBSYS_CONFIG_REG_17,285766BAE1F8CEC7
CMD-1024,24,SUBSYS_CONFIG_REG_18,EA886DD8733FA826
CMD-1025,25,SUBSYS_CONFIG_REG_19,C4319D815AF73BB8
