command_id,counter,payload,hmac_sha256_16
CMD-1001,1,SUBSYS_CONFIG_REG_01,8C996E893C4429B0
CMD-1002,2,SUBSYS_CONFIG_REG_02,661FD7D543A51C2D
CMD-1003,3,SUBSYS_CONFIG_REG_03,7C525B2FBFFCF1FC
CMD-1004,4,SUBSYS_CONFIG_REG_04,08CF8F3B68C935D8
CMD-1005,5,SUBSYS_CONFIG_REG_05,0722F12E388B3203
CMD-1006,6,SUBSYS_CONFIG_REG_06,32632CBD0E704A53
CMD-1007,7,SUBSYS_CONFIG_REG_07,B2A0EC3B1DB29636
CMD-1008,8,SUBSYS_CONFIG_REG_08,9496F2F231BF8106
CMD-1009,9,SUBSYS_CONFIG_REG_09,2432A06B98240F17
CMD-1010,10,SUBSYS_CONFIG_REG_0A,15ED21112ADF1D15
CMD-1011,11,SUBSYS_CONFIG_REG_0B,A1371E709F386FC6
CMD-1012,12,SUBSYS_CONFIG_REG_0C,DE2E91B8FA43EBFF
CMD-1013,13,SUBSYS_CONFIG_REG_0D,84ED657EAC85D089
CMD-1014,14,SUBSYS_CONFIG_REG_0E,E4A901F8BC293810
CMD-1015,15,SUBSYS_CONFIG_REG_0F,07983B24E9C65F80
CMD-1016,16,SUBSYS_CONFIG_REG_10,68239246A6856AC3
CMD-1017,17,SUBSYS_CONFIG_REG_11,E1A687E42E6BE93B
CMD-1018,18,SUBSYS_CONFIG_REG_12,9B835C221B33ED55
CMD-1019,18,SUBSYS_CONFIG_REG_13,8D4E11D01ED5DBC5
CMD-1020,20,SUBSYS_CONFIG_REG_14,1D59EFB3F404F8AD
CMD-1021,21,SUBSYS_CONFIG_REG_15,8E9BAE75454A798C
CMD-1022,22,SUBSYS_CONFIG_REG_16,25DA856E6D9172BC
CMD-1023,23,SUBSYS_CONFIG_REG_17,225B005EB30CCE0C
CMD-1024,24,SUBSYS_CONFIG_REG_18,93B51DC4C212972D
CMD-1025,25,SUBSYS_CONFIG_REG_19,4AAB66BFC041ED5C
