utc_iso,obc_tick16,mode,bat_v_min_mV,bat_v_mean_mV,temp_bat_max_cC,temp_obc_max_cC,gyro_abs_max,rssi_min,crc_err_cnt,reset_cnt,health_bits
2027-03-14T00:00:00Z,0,1,7695,7710,1578,2045,13,-86,0,0,0x01
2027-03-14T00:01:00Z,600,1,7715,7730,1636,2103,15,-78,0,0,0x01
2027-03-14T00:02:00Z,1200,1,7733,7749,1695,2169,15,-73,0,0,0x01
2027-03-14T00:03:00Z,1800,1,7752,7767,1758,2220,11,-66,0,0,0x01
2027-03-14T00:04:00Z,2400,1,7771,7785,1815,2284,12,-64,0,0,0x01
2027-03-14T00:05:00Z,3000,1,7787,7800,1882,2337,14,-63,0,0,0x01
2027-03-14T00:06:00Z,3600,1,7804,7817,1951,2425,15,-66,0,0,0x01
2027-03-14T00:07:00Z,4200,1,7818,7832,2003,2460,14,-72,0,0,0x01
2027-03-14T00:08:00Z,4800,1,7833,7845,2056,2522,16,-79,0,0,0x01
2027-03-14T00:09:00Z,5400,1,7846,7858,2109,2586,16,-87,0,0,0x01
2027-03-14T00:10:00Z,6000,1,7850,7870,2169,2625,16,-119,0,0,0x01
2027-03-14T00:11:00Z,6600,1,7868,7883,2224,2686,15,-120,0,0,0x01
2027-03-14T00:12:00Z,7200,1,7880,7895,2277,2728,15,-119,0,0,0x01
2027-03-14T00:13:00Z,7800,1,7895,7906,2307,2775,14,-120,0,0,0x01
2027-03-14T00:14:00Z,8400,1,7907,7917,2365,2819,12,-119,0,0,0x01
2027-03-14T00:15:00Z,9000,1,7914,7925,2403,2863,11,-120,0,0,0x01
2027-03-14T00:16:00Z,9600,1,7925,7936,2443,2904,13,-121,0,0,0x01
2027-03-14T00:17:00Z,10200,1,7931,7945,2477,2956,15,-118,0,0,0x01
2027-03-14T00:18:00Z,10800,1,7939,7952,2523,2985,12,-119,0,0,0x01
2027-03-14T00:19:00Z,11400,1,7950,7962,2551,3005,17,-119,0,0,0x01
2027-03-14T00:20:00Z,12001,1,7960,7969,2594,3066,16,-117,0,0,0x01
2027-03-14T00:21:00Z,12601,1,7967,7976,2612,3072,15,-119,0,0,0x01
2027-03-14T00:22:00Z,13201,1,7971,7983,2645,3100,13,-119,0,0,0x01
2027-03-14T00:23:00Z,13801,1,7980,7991,2647,3112,16,-119,0,0,0x01
2027-03-14T00:24:00Z,14401,1,7983,7997,2673,3139,14,-120,0,0,0x01
2027-03-14T00:25:00Z,15001,1,7988,8002,2688,3161,19,-119,0,0,0x01
2027-03-14T00:26:00Z,15601,1,7996,8008,2698,3158,13,-118,0,0,0x01
2027-03-14T00:27:00Z,16201,1,8004,8013,2711,3192,16,-120,0,0,0x01
2027-03-14T00:28:00Z,16801,1,8011,8018,2715,3188,13,-120,0,0,0x01
2027-03-14T00:29:00Z,17401,1,8013,8024,2716,3178,13,-119,0,0,0x01
2027-03-14T00:30:00Z,18001,1,8018,8028,2717,3180,15,-119,0,0,0x01
2027-03-14T00:31:00Z,18601,1,8022,8034,2712,3192,15,-119,0,0,0x01
2027-03-14T00:32:00Z,19201,1,8028,8037,2725,3188,19,-119,0,0,0x01
2027-03-14T00:33:00Z,19801,1,8032,8042,2714,3200,15,-118,0,0,0x01
2027-03-14T00:34:00Z,20401,1,8034,8045,2688,3161,14,-121,0,0,0x01
2027-03-14T00:35:00Z,21001,1,8041,8049,2671,3139,16,-121,0,0,0x01
2027-03-14T00:36:00Z,21601,1,8041,8052,2660,3114,13,-119,0,0,0x01
2027-03-14T00:37:00Z,22201,1,8047,8056,2639,3098,14,-121,0,0,0x01
2027-03-14T00:38:00Z,22801,1,8050,8059,2624,3095,14,-120,0,0,0x01
2027-03-14T00:39:00Z,23401,1,8051,8062,2584,3063,13,-122,0,0,0x01
2027-03-14T00:40:00Z,24001,1,8056,8065,2552,3002,16,-119,0,0,0x01
2027-03-14T00:41:00Z,24601,1,8059,8068,2519,2977,15,-118,0,0,0x01
2027-03-14T00:42:00Z,25201,1,8060,8071,2490,2955,18,-120,0,0,0x01
2027-03-14T00:43:00Z,25801,1,8063,8072,2449,2914,14,-119,0,0,0x01
2027-03-14T00:44:00Z,26401,1,8067,8074,2406,2864,19,-120,0,0,0x01
2027-03-14T00:45:00Z,27001,1,8066,8076,2368,2844,17,-118,0,0,0x01
2027-03-14T00:46:00Z,27601,1,8071,8079,2320,2785,19,-119,0,0,0x01
2027-03-14T00:47:00Z,28201,1,8074,8081,2265,2731,17,-119,0,0,0x01
2027-03-14T00:48:00Z,28801,1,8072,8082,2220,2673,16,-120,0,0,0x01
2027-03-14T00:49:00Z,29401,1,8079,8084,2167,2612,14,-119,0,0,0x01
2027-03-14T00:50:00Z,30001,1,8075,8087,2121,2581,14,-85,0,0,0x01
2027-03-14T00:51:00Z,30601,1,8077,8089,2056,2525,13,-77,0,0,0x01
2027-03-14T00:52:00Z,31201,1,8082,8090,1992,2443,14,-71,0,0,0x01
2027-03-14T00:53:00Z,31801,1,8077,8091,1936,2397,14,-68,0,0,0x01
2027-03-14T00:54:00Z,32401,1,8085,8093,1887,2351,17,-64,0,0,0x01
2027-03-14T00:55:00Z,33001,1,8087,8094,1822,2292,16,-63,0,0,0x01
2027-03-14T00:56:00Z,33601,1,8086,8095,1758,2230,15,-66,0,0,0x01
2027-03-14T00:57:00Z,34201,1,8090,8097,1708,2159,15,-70,0,0,0x01
2027-03-14T00:58:00Z,34801,1,8089,8098,1639,2100,13,-78,0,0,0x01
2027-03-14T00:59:00Z,35402,1,8089,8098,1573,2029,15,-86,0,0,0x01
2027-03-14T01:00:00Z,36002,1,8093,8108,2223,2697,12,-121,0,0,0x01
2027-03-14T01:01:00Z,36602,1,8075,8089,2193,2663,14,-119,0,0,0x01
2027-03-14T01:02:00Z,37202,1,8058,8073,2175,2670,11,-119,0,0,0x01
2027-03-14T01:03:00Z,37802,1,8041,8057,2161,2635,14,-118,0,0,0x01
2027-03-14T01:04:00Z,38402,1,8029,8042,2134,2611,13,-118,0,0,0x01
2027-03-14T01:05:00Z,39002,1,8008,8027,2113,2574,13,-118,0,0,0x01
2027-03-14T01:06:00Z,39602,1,7998,8012,2088,2571,11,-119,0,0,0x01
2027-03-14T01:07:00Z,40202,1,7989,7998,2074,2542,13,-120,0,0,0x01
2027-03-14T01:08:00Z,40802,1,7971,7985,2053,2520,16,-119,0,0,0x01
2027-03-14T01:09:00Z,41402,1,7956,7972,2036,2495,17,-120,0,0,0x01
2027-03-14T01:10:00Z,42002,1,7948,7959,2012,2491,13,-118,0,0,0x01
2027-03-14T01:11:00Z,42602,1,7933,7945,1994,2475,14,-118,0,0,0x01
2027-03-14T01:12:00Z,43202,1,7921,7933,1968,2431,14,-118,0,0,0x01
2027-03-14T01:13:00Z,43802,1,7905,7920,1957,2426,17,-118,0,0,0x01
2027-03-14T01:14:00Z,44402,1,7892,7907,1930,2402,15,-118,0,0,0x01
2027-03-14T01:15:00Z,45002,1,7881,7895,1911,2373,13,-117,0,0,0x01
2027-03-14T01:16:00Z,45602,1,7870,7883,1897,2352,17,-118,0,0,0x01
2027-03-14T01:17:00Z,46202,1,7863,7871,1877,2340,15,-120,0,0,0x01
2027-03-14T01:18:00Z,46802,1,7844,7859,1864,2323,14,-119,0,0,0x01
2027-03-14T01:19:00Z,47402,1,7834,7846,1834,2298,13,-120,0,0,0x01
2027-03-14T01:20:00Z,48002,1,7821,7835,1814,2293,13,-119,0,0,0x01
2027-03-14T01:21:00Z,48602,1,7811,7823,1791,2260,12,-119,0,0,0x01
2027-03-14T01:22:00Z,49202,1,7798,7811,1781,2248,18,-118,0,0,0x01
2027-03-14T01:23:00Z,49802,1,7789,7799,1776,2231,13,-118,0,0,0x01
2027-03-14T01:24:00Z,50402,1,7779,7788,1735,2212,14,-119,0,0,0x01
2027-03-14T01:25:00Z,51002,1,7765,7777,1724,2178,11,-119,0,0,0x01
2027-03-14T01:26:00Z,51602,1,7754,7766,1692,2170,15,-119,0,0,0x01
2027-03-14T01:27:00Z,52202,1,7744,7753,1673,2142,12,-119,0,0,0x01
2027-03-14T01:28:00Z,52802,1,7729,7743,1657,2125,15,-118,0,0,0x01
2027-03-14T01:29:00Z,53402,1,7719,7730,1628,2106,14,-118,0,0,0x01
2027-03-14T01:30:00Z,54002,1,7710,7720,1618,2068,12,-118,0,0,0x01
2027-03-14T01:31:00Z,54602,1,7695,7709,1598,2072,17,-119,0,0,0x01
2027-03-14T01:32:00Z,55202,1,7689,7698,1583,2038,12,-119,0,0,0x01
