command_id,counter,payload,hmac_sha256_16
CMD-1001,1,SUBSYS_CONFIG_REG_01,409645A0411A9C27
CMD-1002,2,SUBSYS_CONFIG_REG_02,495FF7B161C99AF6
CMD-1003,3,SUBSYS_CONFIG_REG_03,6AF7C4C75EC5F3B0
CMD-1004,4,SUBSYS_CONFIG_REG_04,7AFFFE7FC2060C74
CMD-1005,5,SUBSYS_CONFIG_REG_05,BA7AED6B5645AB67
CMD-1006,6,SUBSYS_CONFIG_REG_06,715CDE735A1C4C51
CMD-1007,7,SUBSYS_CONFIG_REG_07,228506EB3FBFC747
CMD-1008,8,SUBSYS_CONFIG_REG_08,FE3CE94192480903
CMD-1009,9,SUBSYS_CONFIG_REG_09,7FA7A878004B03CF
CMD-1010,10,SUBSYS_CONFIG_REG_0A,1ADA089E3D52E667
CMD-1011,11,SUBSYS_CONFIG_REG_0B,815BD17F8044A534
CMD-1012,12,SUBSYS_CONFIG_REG_0C,7039A7AA3E848721
CMD-1013,13,SUBSYS_CONFIG_REG_0D,E6AC54DA1DA21F4E
CMD-1014,14,SUBSYS_CONFIG_REG_0E,E4A901F8BC293810
CMD-1015,15,SUBSYS_CONFIG_REG_0F,9511C45060F74708
CMD-1016,16,SUBSYS_CONFIG_REG_10,FCB991102F42E4C8
CMD-1017,17,SUBSYS_CONFIG_REG_11,34DC8E50E5FB66BE
CMD-1018,18,SUBSYS_CONFIG_REG_12,5219445AA346548F
CMD-1019,18,SUBSYS_CONFIG_REG_13,46BF4685EF6BC023
CMD-1020,20,SUBSYS_CONFIG_REG_14,51CBB56608FA78F4
CMD-1021,21,SUBSYS_CONFIG_REG_15,2E4A412EE38E459A
CMD-1022,22,SUBSYS_CONFIG_REG_16,E49325F7770124E3
CMD-1023,23,SUBSYS_CONFIG_REG_17,F05AF75CC5DB0702
CMD-1024,24,SUBSYS_CONFIG_REG_18,5B491C420A8BE4DA
CMD-1025,25,SUBSYS_CONFIG_REG_19,822C25256C187D15
