command_id,counter,payload,hmac_sha256_16
CMD-1001,1,SUBSYS_CONFIG_REG_01,0613E67F01F152D3
CMD-1002,2,SUBSYS_CONFIG_REG_02,9CD6C2975810F070
CMD-1003,3,SUBSYS_CONFIG_REG_03,E0E55AEEB1C1695C
CMD-1004,4,SUBSYS_CONFIG_REG_04,7369B651ED0484BD
CMD-1005,5,SUBSYS_CONFIG_REG_05,68DBD46270022A52
CMD-1006,6,SUBSYS_CONFIG_REG_06,F5861ED7F85AE9D8
CMD-1007,7,SUBSYS_CONFIG_REG_07,2EB9993A979EE47D
CMD-1008,8,SUBSYS_CONFIG_REG_08,7BFCD28AED05F4B8
CMD-1009,9,SUBSYS_CONFIG_REG_09,45D5C8854391370A
CMD-1010,10,SUBSYS_CONFIG_REG_0A,0825175C7F71C2A3
CMD-1011,11,SUBSYS_CONFIG_REG_0B,AABAAA1A3BD6414F
CMD-1012,12,SUBSYS_CONFIG_REG_0C,60DC117C985F53D8
CMD-1013,13,SUBSYS_CONFIG_REG_0D,5233AC6CD90CA6AE
CMD-1014,14,SUBSYS_CONFIG_REG_0E,E4A901F8BC293810
CMD-1015,15,SUBSYS_CONFIG_REG_0F,D04CB8409F628F10
CMD-1016,16,SUBSYS_CONFIG_REG_10,7E7BFA04F5DAC95B
CMD-1017,17,SUBSYS_CONFIG_REG_11,58676DEAEE2737EB
CMD-1018,18,SUBSYS_CONFIG_REG_12,EEE3EA1A911332DA
CMD-1019,18,SUBSYS_CONFIG_REG_13,B89CEF76EC8EFDCB
CMD-1020,20,SUBSYS_CONFIG_REG_14,E6EE282A8A01F512
CMD-1021,21,SUBSYS_CONFIG_REG_15,A9FB39BA68B20C35
CMD-1022,22,SUBSYS_CONFIG_REG_16,67D971F453A89B94
CMD-1023,23,SUBSYS_CONFIG_REG_17,DE803F9B4ECE9D69
CMD-1024,24,SUBSYS_CONFIG_REG_18,2F867C96777AEA43
CMD-1025,25,SUBSYS_CONFIG_REG_19,88C4CE0BDA906F62
