command_id,counter,payload,hmac_sha256_16
CMD-1001,1,SUBSYS_CONFIG_REG_01,AF752D7318D312F0
CMD-1002,2,SUBSYS_CONFIG_REG_02,C2F3C222E6F37ECC
CMD-1003,3,SUBSYS_CONFIG_REG_03,86A62394BEA0C737
CMD-1004,4,SUBSYS_CONFIG_REG_04,E7B20297AC4F53F4
CMD-1005,5,SUBSYS_CONFIG_REG_05,B5C0B0870016B4B5
CMD-1006,6,SUBSYS_CONFIG_REG_06,C3F7689C16BC58D2
CMD-1007,7,SUBSYS_CONFIG_REG_07,3F27F91EEF114EB6
CMD-1008,8,SUBSYS_CONFIG_REG_08,A316D636C099C9BB
CMD-1009,9,SUBSYS_CONFIG_REG_09,65D02DBF33D51105
CMD-1010,10,SUBSYS_CONFIG_REG_0A,F343725BDD07C0B1
CMD-1011,11,SUBSYS_CONFIG_REG_0B,A8030A74436064F2
CMD-1012,12,SUBSYS_CONFIG_REG_0C,1E1538E7029F8889
CMD-1013,13,SUBSYS_CONFIG_REG_0D,E2DA7183DF602101
CMD-1014,14,SUBSYS_CONFIG_REG_0E,E4A901F8BC293810
CMD-1015,15,SUBSYS_CONFIG_REG_0F,88D75D04D4DB0A29
CMD-1016,16,SUBSYS_CONFIG_REG_10,3E940B2A841FBD11
CMD-1017,17,SUBSYS_CONFIG_REG_11,8B4418361F8598D4
CMD-1018,18,SUBSYS_CONFIG_REG_12,BA24A400665345B9
CMD-1019,18,SUBSYS_CONFIG_REG_13,5F4D53FAB6FF686C
CMD-1020,20,SUBSYS_CONFIG_REG_14,0D8257E9BC96B4BA
CMD-1021,21,SUBSYS_CONFIG_REG_15,30B0D5C1EAB60480
CMD-1022,22,SUBSYS_CONFIG_REG_16,F2B1750E65B0E1CC
CMD-1023,23,SUBSYS_CONFIG_REG_17,A01630D32B7B280A
CMD-1024,24,SUBSYS_CONFIG_REG_18,34848011BC2C389E
CMD-1025,25,SUBSYS_CONFIG_REG_19,0F782FDB6CF3B5E7
