command_id,counter,payload,hmac_sha256_16
CMD-1001,1,SUBSYS_CONFIG_REG_01,C6F92D9A85ECE4B6
CMD-1002,2,SUBSYS_CONFIG_REG_02,628179C876A1CB42
CMD-1003,3,SUBSYS_CONFIG_REG_03,8384D0C8180F4C34
CMD-1004,4,SUBSYS_CONFIG_REG_04,B9D15DED4E0F7F07
CMD-1005,5,SUBSYS_CONFIG_REG_05,7940EBD2D8122153
CMD-1006,6,SUBSYS_CONFIG_REG_06,56CABDA69598D96A
CMD-1007,7,SUBSYS_CONFIG_REG_07,19403ED178E29C91
CMD-1008,8,SUBSYS_CONFIG_REG_08,D78EBAF5B0CDEB2E
CMD-1009,9,SUBSYS_CONFIG_REG_09,B60103C127278660
CMD-1010,10,SUBSYS_CONFIG_REG_0A,E286C7FE23E672CF
CMD-1011,11,SUBSYS_CONFIG_REG_0B,5489A30E14283680
CMD-1012,12,SUBSYS_CONFIG_REG_0C,F9191701FE3D6497
CMD-1013,13,SUBSYS_CONFIG_REG_0D,59EFDCDCCFE468DF
CMD-1014,14,SUBSYS_CONFIG_REG_0E,E4A901F8BC293810
CMD-1015,15,SUBSYS_CONFIG_REG_0F,8792E4DB49124C51
CMD-1016,16,SUBSYS_CONFIG_REG_10,8AE4ED475C47EAD0
CMD-1017,17,SUBSYS_CONFIG_REG_11,A11C41EC34BE1DBD
CMD-1018,18,SUBSYS_CONFIG_REG_12,F019FB117EF05D79
CMD-1019,18,SUBSYS_CONFIG_REG_13,45EAF0F6AD49F6F7
CMD-1020,20,SUBSYS_CONFIG_REG_14,A9D2895BA99FA873
CMD-1021,21,SUBSYS_CONFIG_REG_15,9EF8ED25719F81E2
CMD-1022,22,SUBSYS_CONFIG_REG_16,4ECE5E697469E8B7
CMD-1023,23,SUBSYS_CONFIG_REG_17,54DB05B5D080EFFA
CMD-1024,24,SUBSYS_CONFIG_REG_18,A2A61D7D27AD48EF
CMD-1025,25,SUBSYS_CONFIG_REG_19,CD15F8C9AFC8351B
