command_id,counter,payload,hmac_sha256_16
CMD-1001,1,SUBSYS_CONFIG_REG_01,E9264065A5A26A2C
CMD-1002,2,SUBSYS_CONFIG_REG_02,290F06EF4660D156
CMD-1003,3,SUBSYS_CONFIG_REG_03,D2A057D282CB19B1
CMD-1004,4,SUBSYS_CONFIG_REG_04,098FAF8B102DA8E2
CMD-1005,5,SUBSYS_CONFIG_REG_05,15186C12C39F3904
CMD-1006,6,SUBSYS_CONFIG_REG_06,FC57DDA9DD14007A
CMD-1007,7,SUBSYS_CONFIG_REG_07,07D1DFF6A1F9E13F
CMD-1008,8,SUBSYS_CONFIG_REG_08,523604A1B6E915E4
CMD-1009,9,SUBSYS_CONFIG_REG_09,B3D7244F32D48C32
CMD-1010,10,SUBSYS_CONFIG_REG_0A,FFADF908585F6B27
CMD-1011,11,SUBSYS_CONFIG_REG_0B,A443DE61ED71DE17
CMD-1012,12,SUBSYS_CONFIG_REG_0C,6E8DD7EFD542B467
CMD-1013,13,SUBSYS_CONFIG_REG_0D,0FCD1D16D89567AB
CMD-1014,14,SUBSYS_CONFIG_REG_0E,E4A901F8BC293810
CMD-1015,15,SUBSYS_CONFIG_REG_0F,2A1E68F7DAAC6DB8
CMD-1016,16,SUBSYS_CONFIG_REG_10,A0B3F10CA545EC55
CMD-1017,17,SUBSYS_CONFIG_REG_11,7FB951BCD527FAF4
CMD-1018,18,SUBSYS_CONFIG_REG_12,D3155F6A4DC40863
CMD-1019,18,SUBSYS_CONFIG_REG_13,4AEE3121D1AD41C0
CMD-1020,20,SUBSYS_CONFIG_REG_14,CEBF0D0453782A18
CMD-1021,21,SUBSYS_CONFIG_REG_15,DE7D467657F630FD
CMD-1022,22,SUBSYS_CONFIG_REG_16,A949D3F42BCFB662
CMD-1023,23,SUBSYS_CONFIG_REG_17,609AE3312376DDA7
CMD-1024,24,SUBSYS_CONFIG_REG_18,E80B5D34E17B12E2
CMD-1025,25,SUBSYS_CONFIG_REG_19,B2A5FCDCBFC8E7D5
